Symbol,Company Name,"Market capitalization as on March 31, 2023
(Rs in Lakhs)"
LXCHEM,Laxmi Organic Industries Limited,590658.20946
STLTECH,Sterlite Technologies Limited,587870.1013965
CEATLTD,CEAT Limited,586748.809506
BSE,BSE Limited,583777.3287645
SPARC,Sun Pharma Advanced Research Company Limited,581989.957273
ALOKINDS,Alok Industries Limited,575967.886516
ORIENTELEC,Orient Electric Limited,575159.417334
INDIACEM,The India Cements Limited,573464.7704505001
JUBLINGREA,Jubilant Ingrevia Limited,573332.4598305001
KIRLOSENG,Kirloskar Oil Engines Limited,573210.9102459999
TCIEXP,TCI Express Limited,571973.778675
JMFINANCIL,JM Financial Limited,569053.098488
NETWORK18,Network18 Media & Investments Limited,567969.5715575
BBTC,Bombay Burmah Trading Corporation Limited,566094.31065
SWANENERGY,Swan Energy Limited,564254.546
GPPL,Gujarat Pipavav Port Limited,562965.775195
KAYNES,Kaynes Technology India Limited,559795.951488
VRLLOG,VRL Logistics Limited,558860.94937
INTELLECT,Intellect Design Arena Limited,557276.89295
SWSOLAR,Sterling and Wilson Renewable Energy Limited,553145.7590280001
CHEMPLASTS,Chemplast Sanmar Limited,549984.153159
QUESS,Quess Corp Limited,547804.236956
ROLEXRINGS,Rolex Rings Limited,545265.372864
MAHLIFE,Mahindra Lifespace Developers Limited,544509.09415
ESABINDIA,Esab India Limited,543812.30707
MHRIL,Mahindra Holidays & Resorts India Limited,543037.07304
GOCOLORS,Go Fashion (India) Limited,542601.257756
HGS,Hinduja Global Solutions Limited,540801.374645
BORORENEW,BOROSIL RENEWABLES LIMITED,536151.7684215
GAEL,Gujarat Ambuja Exports Limited,532860.639255
MAPMYINDIA,C.E. Info Systems Limited,532475.840556
PRSMJOHNSN,Prism Johnson Limited,530286.15703
RUSTOMJEE,Keystone Realtors Limited,527423.2846245
IRCON,Ircon International Limited,526688.8144
RCF,Rashtriya Chemicals and Fertilizers Limited,526034.60335
WELCORP,Welspun Corp Limited,524366.436975
BEML,BEML Limited,523637.943
GRSE,Garden Reach Shipbuilders & Engineers Limited,521669.808
EPL,EPL Limited,516229.04967
MINDACORP,Minda Corporation Limited,514379.38934199995
GRAPHITE,Graphite India Limited,512958.622047
HGINFRA,H.G. Infra Engineering Limited,510094.285797
OLECTRA,Olectra Greentech Limited,508284.9638725
RELINFRA,Reliance Infrastructure Limited,507457.075
JUSTDIAL,Just Dial Limited,501835.303104
RAIN,Rain Industries Limited,501323.2345495
IONEXCHANG,ION Exchange (India) Limited,500712.4049305
EDELWEISS,Edelweiss Financial Services Limited,496071.23909
UJJIVANSFB,Ujjivan Small Finance Bank Limited,493534.6049875
TV18BRDCST,TV18 Broadcast Limited,492878.5462875
GPIL,Godawari Power And Ispat limited,491757.063132
MTARTECH,Mtar Technologies Limited,486478.31146050006
TCI,Transport Corporation of India Limited,486206.486325
RTNINDIA,RattanIndia Enterprises Limited,485867.76158800005
VSTIND,VST Industries Limited,485733.31456
SAFARI,Safari Industries (India) Limited,485571.652265
ACE,Action Construction Equipment Limited,484549.524524
MAHSCOOTER,Maharashtra Scooters Limited,483811.28342800005
DELTACORP,Delta Corp Limited,483347.373665
GLS,Glenmark Life Sciences Limited,481409.25878800004
GHCL,GHCL Limited,481322.225403
INDIGOPNTS,Indigo Paints Limited,479856.44154699997
MAHSEAMLES,Maharashtra Seamless Limited,479114.325526
SUPRAJIT,Suprajit Engineering Limited,477177.66411199997
KFINTECH,Kfin Technologies Limited,474263.4289475
GSFC,Gujarat State Fertilizers & Chemicals Limited,474188.2607
J&KBANK,The Jammu & Kashmir Bank Limited,471605.8718205
RELIGARE,Religare Enterprises Limited,469161.22135
MASTEK,Mastek Limited,469143.55018
SIS,SIS LIMITED,467281.4525665
JINDALSAW,Jindal Saw Limited,466521.25670300005
TEGA,Tega Industries Limited,465440.91862400004
SYRMA,Syrma SGS Technology Limited,464130.224171
AVANTIFEED,Avanti Feeds Limited,462485.791035
STARCEMENT,Star Cement Limited,461301.8331445
IBULHSGFIN,Indiabulls Housing Finance Limited,459099.319305
RKFORGE,Ramkrishna Forgings Limited,457443.959635
CAPLIPOINT,Caplin Point Laboratories Limited,452342.414787
VAIBHAVGBL,Vaibhav Global Limited,450208.7728215
RBA,Restaurant Brands Asia Limited,445580.16518400004
JUBLPHARMA,Jubilant Pharmova Limited,444155.4561015
SHARDACROP,Sharda Cropchem Limited,441809.764015
NIITLTD,NIIT Limited,439150.78886
PCBL,PCBL LIMITED,438234.08324400004
MASFIN,MAS Financial Services Limited,438116.274645
SCI,Shipping Corporation Of India Limited,435987.87336
PDSL,PDS Limited,434876.42198
GUJALKALI,Gujarat Alkalies and Chemicals Limited,429764.833563
ELECON,Elecon Engineering Company Limited,428772.1662475
CMSINFO,CMS Info Systems Limited,427611.016021
VMART,V-Mart Retail Limited,427539.967449
ICRA,ICRA Limited,426811.21412849997
JSWHL,JSW Holdings Limited,425925.910125
FDC,FDC Limited,425227.545292
